"Start Date","End Date","Campaign Name","Ad Set Name",Placement,Reach,Frequency,Impressions,Clicks,"Unique Clicks","Click-Through Rate (CTR)","Unique Click-Through Rate (uCTR)","Amount Spent (USD)","Cost Per 1,000 Impressions (CPM) (USD)","Cost Per 1,000 People Reached (USD)","Cost Per Click (CPC) (USD)",Actions,"People Taking Action","Page Likes","Website Clicks"
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Desktop Computers",12,1,12,0,0,0,0,0.02,1.6666666666667,1.6666666666667,0,0,0,0,0
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Mobile Devices",1048,1.0276717557252,1077,3,3,0.27855153203343,0.28625954198473,2.27,2.1077065923863,2.1660305343511,0.75666666666667,2,2,0,2
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Desktop Computers",4,1,4,0,0,0,0,0.01,2.5,2.5,0,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Mobile Devices",960,1.021875,981,5,5,0.50968399592253,0.52083333333333,2.26,2.3037716615698,2.3541666666667,0.452,1,1,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Desktop Computers",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Desktop Computers",9,1,9,0,0,0,0,0.02,2.2222222222222,2.2222222222222,0,0,0,0,0
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Mobile Devices",954,1.0283018867925,981,9,9,0.91743119266055,0.94339622641509,2.27,2.3139653414883,2.3794549266247,0.25222222222222,3,3,0,3
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Mobile Devices",751,1.0252996005326,770,2,1,0.25974025974026,0.13315579227696,2.27,2.9480519480519,3.0226364846871,1.135,2,2,1,1
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Desktop Computers",5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Desktop Computers",102,2.0490196078431,209,0,0,0,0,0.25,1.1961722488038,2.4509803921569,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Home Page for Desktop Computers",127,1.8188976377953,231,0,0,0,0,0.22,0.95238095238095,1.7322834645669,0,0,0,0,0
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Mobile Devices",2288,1.1617132867133,2658,9,9,0.33860045146727,0.39335664335664,11.96,4.4996237772761,5.2272727272727,1.3288888888889,3,3,0,3
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Desktop Computers",106,2.3396226415094,248,1,1,0.40322580645161,0.94339622641509,0.25,1.008064516129,2.3584905660377,0.25,1,1,0,1
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Mobile Devices",2022,1.1315529179031,2288,11,11,0.48076923076923,0.54401582591494,12.22,5.3409090909091,6.0435212660732,1.1109090909091,7,7,0,5
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Desktop Computers",67,2.2537313432836,151,0,0,0,0,0.14,0.92715231788079,2.089552238806,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Desktop Computers",4,1,4,0,0,0,0,0.01,2.5,2.5,0,0,0,0,0
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Home Page for Desktop Computers",152,2.0986842105263,319,0,0,0,0,0.29,0.90909090909091,1.9078947368421,0,0,0,0,0
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Desktop Computers",13,1.1538461538462,15,0,0,0,0,0.16,10.666666666667,12.307692307692,0,0,0,0,0
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Mobile Devices",1539,1.1013645224172,1695,8,8,0.47197640117994,0.51981806367771,12.21,7.2035398230088,7.9337231968811,1.52625,7,7,1,6
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Home Page for Desktop Computers",110,1.5636363636364,172,0,0,0,0,0.19,1.1046511627907,1.7272727272727,0,0,0,0,0
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Desktop Computers",23,1.0869565217391,25,0,0,0,0,0.2,8,8.695652173913,0,0,0,0,0
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Desktop Computers",8,1,8,0,0,0,0,0.02,2.5,2.5,0,0,0,0,0
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Desktop Computers",63,1.968253968254,124,0,0,0,0,0.05,0.40322580645161,0.79365079365079,0,0,0,0,0
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Mobile Devices",2337,1.1630295250321,2718,17,15,0.62545989698308,0.6418485237484,12.53,4.6100073583517,5.3615746683783,0.73705882352941,9,8,0,9
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Home Page for Desktop Computers",111,1.5225225225225,169,0,0,0,0,0.1,0.59171597633136,0.9009009009009,0,0,0,0,0
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Desktop Computers",8,1,8,0,0,0,0,0.02,2.5,2.5,0,0,0,0,0
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Home Page for Desktop Computers",206,1.6844660194175,347,0,0,0,0,0.2,0.57636887608069,0.97087378640777,0,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Desktop Computers",8,1,8,0,0,0,0,0.05,6.25,6.25,0,0,0,0,0
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Mobile Devices",2358,1.1899915182358,2806,7,7,0.24946543121882,0.29686174724343,12.37,4.4084105488239,5.2459711620017,1.7671428571429,5,5,0,5
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Desktop Computers",103,1.6796116504854,173,0,0,0,0,0.11,0.63583815028902,1.0679611650485,0,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Home Page for Desktop Computers",133,1.6315789473684,217,1,1,0.46082949308756,0.75187969924812,0.15,0.69124423963134,1.1278195488722,0.15,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Mobile Devices",2350,1.1612765957447,2729,15,12,0.54965188713815,0.51063829787234,12.37,4.5327958959326,5.263829787234,0.82466666666667,6,6,0,5
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Home Page for Desktop Computers",115,1.6,184,0,0,0,0,0.11,0.59782608695652,0.95652173913043,0,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Desktop Computers",98,1.734693877551,170,0,0,0,0,0.13,0.76470588235294,1.3265306122449,0,0,0,0,0
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Desktop Computers",7,1.2857142857143,9,0,0,0,0,0.03,3.3333333333333,4.2857142857143,0,0,0,0,0
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"Right Column Ads on Desktop Computers",74,1.7702702702703,131,0,0,0,0,0.07,0.53435114503817,0.94594594594595,0,0,0,0,0
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_wa_dc,"News Feed on Mobile Devices",2291,1.180707114797,2705,12,12,0.44362292051756,0.52378873854212,12.49,4.6173752310536,5.4517677869926,1.0408333333333,5,5,0,5
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Mobile Devices",3670,1.1013623978202,4042,18,17,0.44532409698169,0.46321525885559,7.77,1.9223156853043,2.1171662125341,0.43166666666667,9,9,1,7
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Desktop Computers",15,1,15,0,0,0,0,0.02,1.3333333333333,1.3333333333333,0,0,0,0,0
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Desktop Computers",631,3.3122028526149,2090,0,0,0,0,0.56,0.26794258373206,0.88748019017433,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Home Page for Desktop Computers",498,2.4056224899598,1198,0,0,0,0,0.48,0.40066777963272,0.96385542168675,0,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Desktop Computers",16,1,16,0,0,0,0,0.02,1.25,1.25,0,0,0,0,0
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Home Page for Desktop Computers",1029,3,3087,5,5,0.16196954972465,0.48590864917396,1.17,0.37900874635569,1.1370262390671,0.234,6,6,0,6
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Home Page for Desktop Computers",449,1.8285077951002,821,0,0,0,0,0.31,0.37758830694275,0.69042316258352,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Desktop Computers",337,2.9347181008902,989,0,0,0,0,0.28,0.28311425682508,0.83086053412463,0,0,0,0,0
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Desktop Computers",7,1.1428571428571,8,0,0,0,0,0.02,2.5,2.8571428571429,0,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Mobile Devices",3591,1.1049846839321,3968,17,16,0.42842741935484,0.44555834029518,7.67,1.9329637096774,2.13589529379,0.45117647058824,10,10,2,6
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Mobile Devices",3454,1.1039374638101,3813,17,15,0.4458431681091,0.43427909669948,9.01,2.3629687909782,2.6085697741749,0.53,8,8,1,6
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Desktop Computers",181,4,724,0,0,0,0,0.18,0.24861878453039,0.99447513812155,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Mobile Devices",3738,1.1153023006956,4169,11,10,0.26385224274406,0.26752273943285,8.75,2.0988246581914,2.3408239700375,0.79545454545455,4,4,1,3
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Desktop Computers",7,1,7,0,0,0,0,0.01,1.4285714285714,1.4285714285714,0,0,0,0,0
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Home Page for Desktop Computers",1674,3.0591397849462,5121,7,7,0.13669205233353,0.41816009557945,1.87,0.365163054091,1.1170848267622,0.26714285714286,7,7,0,7
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Mobile Devices",3687,1.1291022511527,4163,13,13,0.31227480182561,0.35259018171956,7.17,1.7223156377612,1.9446704637917,0.55153846153846,4,4,0,3
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Desktop Computers",968,4.3667355371901,4227,1,1,0.023657440264963,0.10330578512397,0.82,0.1939910101727,0.84710743801653,0.82,1,1,0,1
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Home Page for Desktop Computers",1538,3.334200260078,5128,10,7,0.19500780031201,0.45513654096229,1.52,0.29641185647426,0.98829648894668,0.152,9,7,0,9
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Desktop Computers",16,1.125,18,0,0,0,0,0.03,1.6666666666667,1.875,0,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Desktop Computers",651,3.8878648233487,2531,1,1,0.039510075069143,0.15360983102919,0.56,0.2212564203872,0.86021505376344,0.56,1,1,0,1
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Desktop Computers",867,3.9942329873126,3463,2,2,0.057753393011839,0.23068050749712,0.76,0.21946289344499,0.87658592848904,0.38,2,2,0,2
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Mobile Devices",3455,1.1507959479016,3976,18,17,0.45271629778672,0.49204052098408,6.86,1.7253521126761,1.9855282199711,0.38111111111111,8,8,0,5
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Desktop Computers",12,1.0833333333333,13,0,0,0,0,0.01,0.76923076923077,0.83333333333333,0,0,0,0,0
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Home Page for Desktop Computers",1177,3.0161427357689,3550,2,2,0.056338028169014,0.16992353440952,1.27,0.35774647887324,1.0790144435004,0.635,2,2,0,2
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Desktop Computers",14,1,14,0,0,0,0,0.02,1.4285714285714,1.4285714285714,0,0,0,0,0
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"News Feed on Mobile Devices",3667,1.1497136623943,4216,13,11,0.30834914611006,0.29997272975184,7.7,1.826375711575,2.0998091082629,0.59230769230769,8,7,2,5
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Home Page for Desktop Computers",1208,3.3220198675497,4013,2,2,0.049838026414154,0.16556291390728,1.23,0.30650386244705,1.0182119205298,0.615,1,1,0,1
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_hs_ug,"Right Column Ads on Desktop Computers",754,3.5331564986737,2664,0,0,0,0,0.57,0.21396396396396,0.75596816976127,0,0,0,0,0
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Mobile Devices",1007,1.0824230387289,1090,8,8,0.73394495412844,0.79443892750745,2.29,2.1009174311927,2.2740814299901,0.28625,5,5,0,4
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Desktop Computers",10,1,10,0,0,0,0,0.01,1,1,0,0,0,0,0
2015-01-01,2015-01-01,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Desktop Computers",7,1,7,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Desktop Computers",6,1,6,0,0,0,0,0.01,1.6666666666667,1.6666666666667,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Mobile Devices",826,1.0375302663438,857,9,8,1.0501750291715,0.96852300242131,2.28,2.6604434072345,2.7602905569007,0.25333333333333,6,6,3,2
2015-01-02,2015-01-02,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Mobile Devices",1129,1.0425155004429,1177,13,12,1.1045029736619,1.0628875110717,2.28,1.9371282922685,2.0194862710363,0.17538461538462,6,6,2,4
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Mobile Devices",775,1.0464516129032,811,11,9,1.3563501849568,1.1612903225806,2.28,2.8113440197287,2.941935483871,0.20727272727273,3,3,0,3
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Mobile Devices",1122,1.0606060606061,1190,5,5,0.42016806722689,0.44563279857398,2.27,1.9075630252101,2.0231729055258,0.454,0,0,0,0
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Desktop Computers",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"Right Column Ads on Home Page for Desktop Computers",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Desktop Computers",9,1.1111111111111,10,0,0,0,0,0.01,1,1.1111111111111,0,0,0,0,0
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Desktop Computers",13,1.0769230769231,14,0,0,0,0,0.02,1.4285714285714,1.5384615384615,0,0,0,0,0
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Mobile Devices",1180,1.0610169491525,1252,4,2,0.31948881789137,0.16949152542373,2.29,1.8290734824281,1.9406779661017,0.5725,3,3,1,1
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Mobile Devices",1180,1.0576271186441,1248,7,7,0.56089743589744,0.59322033898305,2.29,1.8349358974359,1.9406779661017,0.32714285714286,1,1,0,1
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_cu_gr,"News Feed on Desktop Computers",6,1.1666666666667,7,0,0,0,0,0,0,0,0,0,0,0,0
